MIN=0	0	0	-0.1	0	0	
MAX=15	30	10	13	30	5	
SCALE=5	10	5	5	10	1	
DEC=1	2	2	2	2	2	
DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Collector Current" I_A / nA	"Acceleration Voltage" U_2 / V	"Frequency" f / Hz	
10.7	2.73	5.84	5.84	27.3	NAN	
10.8	2.76	5.715	5.715	27.6	NAN	
10.9	2.79	5.605	5.605	27.9	NAN	
11	2.805	5.605	5.605	28.05	NAN	
11.1	2.835	5.405	5.405	28.35	NAN	
11.2	2.865	5.45	5.45	28.65	NAN	
11.3	2.895	5.565	5.565	28.95	NAN	
11.4	2.925	5.55	5.55	29.25	NAN	
11.5	2.94	5.715	5.715	29.4	NAN	
11.6	2.97	6.08	6.08	29.7	NAN	
11.7	3	6.28	6.28	30	NAN	
11.8	3.03	6.25	6.25	30.3	NAN	
11.9	3.045	6.595	6.595	30.45	NAN	
12	3.06	6.865	6.865	30.6	NAN	
12.1	3.09	7.115	7.115	30.9	NAN	
12.2	3.12	7.315	7.315	31.2	NAN	
12.3	3.15	7.515	7.515	31.5	NAN	
12.4	3.165	7.98	7.98	31.65	NAN	
12.5	3.195	7.7	7.7	31.95	NAN	
12.6	3.195	7.705	7.705	31.95	NAN	
12.7	3.195	7.87	7.87	31.95	NAN	
12.8	3.195	7.7	7.7	31.95	NAN	
12.9	3.195	7.7	7.7	31.95	NAN	
13	3.195	7.715	7.715	31.95	NAN	
13.1	3.195	7.705	7.705	31.95	NAN	
13.2	3.195	7.7	7.7	31.95	NAN	
13.3	3.195	7.82	7.82	31.95	NAN	
13.4	3.195	7.71	7.71	31.95	NAN	
13.5	3.195	7.715	7.715	31.95	NAN	
13.6	3.195	7.99	7.99	31.95	NAN	
13.7	3.195	7.705	7.705	31.95	NAN	
13.8	3.195	7.705	7.705	31.95	NAN	
13.9	3.195	7.845	7.845	31.95	NAN	
14	3.195	7.82	7.82	31.95	NAN	
14.1	3.195	7.7	7.7	31.95	NAN	
14.2	3.195	7.695	7.695	31.95	NAN	
14.3	3.195	7.71	7.71	31.95	NAN	
14.4	3.195	7.815	7.815	31.95	NAN	
14.5	3.195	7.7	7.7	31.95	NAN	
14.6	3.195	7.7	7.7	31.95	NAN	
14.7	3.195	8.03	8.03	31.95	NAN	
14.8	3.195	7.705	7.705	31.95	NAN	
14.9	3.195	7.81	7.81	31.95	NAN	
