MIN=0	0	0	-0.1	0	0	
MAX=15	30	10	13	30	5	
SCALE=5	10	5	5	10	1	
DEC=1	2	2	2	2	2	
DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Collector Current" I_A / nA	"Acceleration Voltage" U_2 / V	"Frequency" f / Hz	
0	0.39	-0.03	-0.03	3.9	NAN	
0.1	0.03	-0.025	-0.025	0.3	NAN	
0.2	0.255	-0.025	-0.025	2.55	NAN	
0.3	0.18	0.015	0.015	1.8	NAN	
0.4	0.255	-0.02	-0.02	2.55	NAN	
0.5	0.12	-0.03	-0.03	1.2	NAN	
0.6	0.18	-0.025	-0.025	1.8	NAN	
0.7	0.195	0.01	0.01	1.95	NAN	
0.8	0.3	-0.015	-0.015	3	NAN	
0.9	0.285	0.035	0.035	2.85	NAN	
1	0.3	-0.005	-0.005	3	NAN	
1.1	0.3	0.01	0.01	3	NAN	
1.2	0.33	0.06	0.06	3.3	NAN	
1.3	0.345	0.055	0.055	3.45	NAN	
1.4	0.375	0.11	0.11	3.75	NAN	
1.5	0.39	0.19	0.19	3.9	NAN	
1.6	0.42	0.3	0.3	4.2	NAN	
1.7	0.435	0.435	0.435	4.35	NAN	
1.8	0.465	0.62	0.62	4.65	NAN	
1.9	0.48	0.77	0.77	4.8	NAN	
2	0.51	0.815	0.815	5.1	NAN	
2.1	0.54	0.775	0.775	5.4	NAN	
2.2	0.57	0.62	0.62	5.7	NAN	
2.3	0.585	0.355	0.355	5.85	NAN	
2.4	0.615	0.17	0.17	6.15	NAN	
2.5	0.645	0.065	0.065	6.45	NAN	
2.6	0.675	0.02	0.02	6.75	NAN	
2.7	0.705	0.01	0.01	7.05	NAN	
2.8	0.735	0.015	0.015	7.35	NAN	
2.9	0.75	0.04	0.04	7.5	NAN	
3	0.78	0.075	0.075	7.8	NAN	
3.1	0.795	0.145	0.145	7.95	NAN	
3.2	0.825	0.275	0.275	8.25	NAN	
3.3	0.855	0.44	0.44	8.55	NAN	
3.4	0.87	0.655	0.655	8.7	NAN	
3.5	0.9	0.9	0.9	9	NAN	
3.6	0.93	1.175	1.175	9.3	NAN	
3.7	0.96	1.46	1.46	9.6	NAN	
3.8	0.975	1.705	1.705	9.75	NAN	
3.9	1.005	1.78	1.78	10.05	NAN	
4	1.035	1.68	1.68	10.35	NAN	
4.1	1.065	1.36	1.36	10.65	NAN	
4.2	1.08	0.935	0.935	10.8	NAN	
4.3	1.095	0.62	0.62	10.95	NAN	
4.4	1.125	0.345	0.345	11.25	NAN	
4.5	1.155	0.17	0.17	11.55	NAN	
4.6	1.185	0.095	0.095	11.85	NAN	
4.7	1.215	0.075	0.075	12.15	NAN	
4.8	1.23	0.095	0.095	12.3	NAN	
4.9	1.26	0.15	0.15	12.6	NAN	
5	1.29	0.265	0.265	12.9	NAN	
5.1	1.32	0.44	0.44	13.2	NAN	
5.2	1.335	0.11	0.11	13.35	NAN	
5.3	1.365	0.91	0.91	13.65	NAN	
5.4	1.395	1.225	1.225	13.95	NAN	
5.5	1.41	1.58	1.58	14.1	NAN	
5.6	1.44	2.01	2.01	14.4	NAN	
5.7	1.455	2.33	2.33	14.55	NAN	
5.8	1.485	2.515	2.515	14.85	NAN	
5.9	1.515	2.46	2.46	15.15	NAN	
6	1.545	2.185	2.185	15.45	NAN	
6.1	1.575	1.755	1.755	15.75	NAN	
6.2	1.59	1.34	1.34	15.9	NAN	
6.3	1.62	0.945	0.945	16.2	NAN	
6.4	1.65	0.65	0.65	16.5	NAN	
6.5	1.68	0.48	0.48	16.8	NAN	
6.6	1.71	0.37	0.37	17.1	NAN	
6.7	1.725	0.34	0.34	17.25	NAN	
6.8	1.74	0.365	0.365	17.4	NAN	
6.9	1.77	0.435	0.435	17.7	NAN	
7	1.8	0.59	0.59	18	NAN	
7.1	1.83	0.835	0.835	18.3	NAN	
7.2	1.845	1.145	1.145	18.45	NAN	
7.3	1.875	1.51	1.51	18.75	NAN	
7.4	1.905	1.94	1.94	19.05	NAN	
7.5	1.935	2.38	2.38	19.35	NAN	
7.6	1.95	2.81	2.81	19.5	NAN	
7.7	1.98	3.08	3.08	19.8	NAN	
7.8	2.01	3.175	3.175	20.1	NAN	
7.9	2.04	3.06	3.06	20.4	NAN	
8	2.07	2.78	2.78	20.7	NAN	
8.1	2.07	2.36	2.36	20.7	NAN	
8.2	2.1	1.95	1.95	21	NAN	
8.3	2.13	1.59	1.59	21.3	NAN	
8.4	2.16	1.3	1.3	21.6	NAN	
8.5	2.19	1.11	1.11	21.9	NAN	
8.6	2.205	0.995	0.995	22.05	NAN	
8.7	2.235	0.92	0.92	22.35	NAN	
8.8	2.265	0.92	0.92	22.65	NAN	
8.9	2.295	0.98	0.98	22.95	NAN	
9	2.325	1.13	1.13	23.25	NAN	
9.1	2.34	1.38	1.38	23.4	NAN	
9.2	2.37	1.715	1.715	23.7	NAN	
9.3	2.385	2.115	2.115	23.85	NAN	
9.4	2.415	2.56	2.56	24.15	NAN	
9.5	2.445	3	3	24.45	NAN	
9.6	2.46	3.39	3.39	24.6	NAN	
9.7	2.49	3.67	3.67	24.9	NAN	
9.8	2.52	3.76	3.76	25.2	NAN	
9.9	2.55	3.68	3.68	25.5	NAN	
10	2.565	3.465	3.465	25.65	NAN	
10.1	2.595	3.2	3.2	25.95	NAN	
10.2	2.625	2.905	2.905	26.25	NAN	
10.3	2.655	2.65	2.65	26.55	NAN	
10.4	2.685	2.415	2.415	26.85	NAN	
10.5	2.7	2.225	2.225	27	NAN	
10.6	2.715	2.065	2.065	27.15	NAN	
10.7	2.745	1.96	1.96	27.45	NAN	
10.8	2.775	1.9	1.9	27.75	NAN	
10.9	2.805	1.92	1.92	28.05	NAN	
11	2.82	2.075	2.075	28.2	NAN	
11.1	2.85	2.31	2.31	28.5	NAN	
11.2	2.88	2.63	2.63	28.8	NAN	
11.3	2.91	3	3	29.1	NAN	
11.4	2.925	3.39	3.39	29.25	NAN	
11.5	2.955	3.825	3.825	29.55	NAN	
11.6	2.985	4.175	4.175	29.85	NAN	
11.7	3.015	4.42	4.42	30.15	NAN	
11.8	3.045	4.57	4.57	30.45	NAN	
11.9	3.045	4.57	4.57	30.45	NAN	
12	3.075	4.61	4.61	30.75	NAN	
12.1	3.105	4.42	4.42	31.05	NAN	
12.2	3.135	4.3	4.3	31.35	NAN	
12.3	3.165	4.155	4.155	31.65	NAN	
12.4	3.18	4.04	4.04	31.8	NAN	
12.5	3.195	4.195	4.195	31.95	NAN	
12.6	3.195	3.995	3.995	31.95	NAN	
12.7	3.195	4.01	4.01	31.95	NAN	
12.8	3.195	4.005	4.005	31.95	NAN	
12.9	3.195	4.01	4.01	31.95	NAN	
13	3.195	4	4	31.95	NAN	
13.1	3.195	4.04	4.04	31.95	NAN	
13.2	3.195	4.015	4.015	31.95	NAN	
13.3	3.195	4.03	4.03	31.95	NAN	
13.4	3.195	4.02	4.02	31.95	NAN	
13.5	3.195	4.01	4.01	31.95	NAN	
