MIN=0	0	0	-0.1	0	0	
MAX=15	30	10	13	30	5	
SCALE=5	10	5	5	10	1	
DEC=1	2	2	2	2	2	
DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Collector Current" I_A / nA	"Acceleration Voltage" U_2 / V	"Frequency" f / Hz	
0	0.105	0.055	0.055	1.05	NAN	
0.1	0.09	0.055	0.055	0.9	NAN	
0.2	0.06	0.06	0.06	0.6	NAN	
0.3	0.03	0.07	0.07	0.3	NAN	
0.4	0.03	0.07	0.07	0.3	NAN	
0.5	0.03	0.035	0.035	0.3	NAN	
0.6	0.075	0.01	0.01	0.75	NAN	
0.7	0.075	-0.01	-0.01	0.75	NAN	
0.8	0.075	0	0	0.75	NAN	
0.9	0.06	-0.005	-0.005	0.6	NAN	
1	0.06	0.015	0.015	0.6	NAN	
1.1	0.015	0.045	0.045	0.15	NAN	
1.2	0.045	0.07	0.07	0.45	NAN	
1.3	0	0.07	0.07	0	NAN	
1.4	0.225	0.05	0.05	2.25	NAN	
1.5	0.015	0.15	0.15	0.15	NAN	
1.6	0.105	0.005	0.005	1.05	NAN	
1.7	0.075	0.01	0.01	0.75	NAN	
1.8	0.09	0.005	0.005	0.9	NAN	
1.9	0.105	0.005	0.005	1.05	NAN	
2	0.135	0.005	0.005	1.35	NAN	
2.1	0.165	0.01	0.01	1.65	NAN	
2.2	0.195	0.01	0.01	1.95	NAN	
2.3	0.225	0.085	0.085	2.25	NAN	
2.4	0.255	0.085	0.085	2.55	NAN	
2.5	0.27	0.09	0.09	2.7	NAN	
2.6	0.3	0.09	0.09	3	NAN	
2.7	0.33	0.1	0.1	3.3	NAN	
2.8	0.36	0.04	0.04	3.6	NAN	
2.9	0.39	0.06	0.06	3.9	NAN	
3	0.39	0.13	0.13	3.9	NAN	
3.1	0.42	0.3	0.3	4.2	NAN	
3.2	0.45	0.46	0.46	4.5	NAN	
3.3	0.48	0.73	0.73	4.8	NAN	
3.4	0.51	1.005	1.005	5.1	NAN	
3.5	0.525	1.435	1.435	5.25	NAN	
3.6	0.555	1.665	1.665	5.55	NAN	
3.7	0.585	1.69	1.69	5.85	NAN	
3.8	0.615	1.305	1.305	6.15	NAN	
3.9	0.645	0.79	0.79	6.45	NAN	
4	0.66	0.325	0.325	6.6	NAN	
4.1	0.69	0.125	0.125	6.9	NAN	
4.2	0.72	0.06	0.06	7.2	NAN	
4.3	0.735	0.03	0.03	7.35	NAN	
4.4	0.765	0.04	0.04	7.65	NAN	
4.5	0.78	0.035	0.035	7.8	NAN	
4.6	0.81	0.06	0.06	8.1	NAN	
4.7	0.84	0.28	0.28	8.4	NAN	
4.8	0.87	0.445	0.445	8.7	NAN	
4.9	0.9	0.68	0.68	9	NAN	
5	0.915	0.985	0.985	9.15	NAN	
5.1	0.945	1.21	1.21	9.45	NAN	
5.2	0.975	1.63	1.63	9.75	NAN	
5.3	1.005	2.075	2.075	10.05	NAN	
5.4	1.02	2.51	2.51	10.2	NAN	
5.5	1.05	2.8	2.8	10.5	NAN	
5.6	1.08	2.835	2.835	10.8	NAN	
5.7	1.095	2.385	2.385	10.95	NAN	
5.8	1.125	1.965	1.965	11.25	NAN	
5.9	1.155	1.425	1.425	11.55	NAN	
6	1.17	0.93	0.93	11.7	NAN	
6.1	1.2	0.62	0.62	12	NAN	
6.2	1.23	0.455	0.455	12.3	NAN	
6.3	1.26	0.23	0.23	12.6	NAN	
6.4	1.29	0.175	0.175	12.9	NAN	
6.5	1.305	0.205	0.205	13.05	NAN	
6.6	1.335	0.295	0.295	13.35	NAN	
6.7	1.365	0.435	0.435	13.65	NAN	
6.8	1.395	0.735	0.735	13.95	NAN	
6.9	1.41	1.07	1.07	14.1	NAN	
7	1.425	1.64	1.64	14.25	NAN	
7.1	1.455	2.14	2.14	14.55	NAN	
7.2	1.485	2.66	2.66	14.85	NAN	
7.3	1.515	3.19	3.19	15.15	NAN	
7.4	1.53	3.44	3.44	15.3	NAN	
7.5	1.56	3.59	3.59	15.6	NAN	
7.6	1.59	3.43	3.43	15.9	NAN	
7.7	1.62	3.085	3.085	16.2	NAN	
7.8	1.65	2.58	2.58	16.5	NAN	
7.9	1.665	2.06	2.06	16.65	NAN	
8	1.695	1.69	1.69	16.95	NAN	
8.1	1.725	1.555	1.555	17.25	NAN	
8.2	1.755	1.375	1.375	17.55	NAN	
8.3	1.77	1.205	1.205	17.7	NAN	
8.4	1.785	1.07	1.07	17.85	NAN	
8.5	1.815	1.02	1.02	18.15	NAN	
8.6	1.845	0.91	0.91	18.45	NAN	
8.7	1.875	1.065	1.065	18.75	NAN	
8.8	1.905	1.315	1.315	19.05	NAN	
8.9	1.92	1.68	1.68	19.2	NAN	
9	1.95	2.115	2.115	19.5	NAN	
9.1	1.98	2.59	2.59	19.8	NAN	
9.2	2.01	3.07	3.07	20.1	NAN	
9.3	2.025	3.665	3.665	20.25	NAN	
9.4	2.055	3.96	3.96	20.55	NAN	
9.5	2.07	4.09	4.09	20.7	NAN	
9.6	2.1	4.045	4.045	21	NAN	
9.7	2.13	3.725	3.725	21.3	NAN	
9.8	2.145	3.47	3.47	21.45	NAN	
9.9	2.175	3.285	3.285	21.75	NAN	
10	2.205	3.105	3.105	22.05	NAN	
10.1	2.235	2.945	2.945	22.35	NAN	
10.2	2.265	2.77	2.77	22.65	NAN	
10.3	2.28	2.58	2.58	22.8	NAN	
10.4	2.31	2.4	2.4	23.1	NAN	
10.5	2.34	2.4	2.4	23.4	NAN	
10.6	2.37	2.39	2.39	23.7	NAN	
10.7	2.4	2.485	2.485	24	NAN	
10.8	2.4	2.715	2.715	24	NAN	
10.9	2.43	2.835	2.835	24.3	NAN	
11	2.46	3.11	3.11	24.6	NAN	
11.1	2.49	3.425	3.425	24.9	NAN	
11.2	2.52	3.74	3.74	25.2	NAN	
11.3	2.535	4.035	4.035	25.35	NAN	
11.4	2.565	4.275	4.275	25.65	NAN	
11.5	2.595	4.475	4.475	25.95	NAN	
11.6	2.625	4.58	4.58	26.25	NAN	
11.7	2.64	4.795	4.795	26.4	NAN	
11.8	2.67	4.76	4.76	26.7	NAN	
11.9	2.7	4.865	4.865	27	NAN	
12	2.73	4.855	4.855	27.3	NAN	
12.1	2.745	4.645	4.645	27.45	NAN	
12.2	2.76	4.59	4.59	27.6	NAN	
12.3	2.79	4.445	4.445	27.9	NAN	
12.4	2.82	4.32	4.32	28.2	NAN	
12.5	2.85	4.275	4.275	28.5	NAN	
12.6	2.88	4.29	4.29	28.8	NAN	
12.7	2.895	4.375	4.375	28.95	NAN	
12.8	2.925	4.645	4.645	29.25	NAN	
12.9	2.955	4.775	4.775	29.55	NAN	
13	2.985	4.92	4.92	29.85	NAN	
13.1	3	5.055	5.055	30	NAN	
13.2	3.03	5.1	5.1	30.3	NAN	
13.3	3.06	5.335	5.335	30.6	NAN	
13.4	3.075	5.525	5.525	30.75	NAN	
13.5	3.105	5.73	5.73	31.05	NAN	
13.6	3.12	5.9	5.9	31.2	NAN	
